,Date,Close,MA5,MA20,BB_upper,BB_lower
101,2009-09-22,0.2030854127061395,0.16581968237574712,-0.0018937521910852107,0.06565717550304802,-0.07163685531970049
102,2009-09-23,0.19447205529773817,0.19545376995216213,0.018773456565459305,0.12013246081475332,-0.08624666848356813
103,2009-09-24,0.17021119020938053,0.21016878112393184,0.04072236083887129,0.16452939341427625,-0.08786264786037963
104,2009-09-25,0.10862595957522794,0.2123832626668871,0.06087842208529255,0.19318580884343156,-0.07683359905707181
105,2009-09-28,0.195476855383415,0.21684145762322682,0.08664948167171359,0.23230438691118915,-0.06529293820787245
106,2009-09-29,0.195476855383415,0.21529707765962375,0.1147703358469046,0.26347624272167586,-0.04080727501664174
107,2009-09-30,0.15700422540710546,0.20769188217927187,0.14535537789293385,0.274075537058105,0.009895640640290712
108,2009-10-01,0.03282896405312451,0.1798061282273083,0.17143923708721873,0.25617244246088405,0.0809664698326532
109,2009-10-02,-0.004782879854163286,0.15678647655338115,0.1920835146061677,0.23692295810548422,0.14246328474578868
110,2009-10-05,0.05177835035160621,0.12761864846749407,0.21284989731384085,0.22194395133987707,0.1997951079261868
111,2009-10-06,0.19849180531226476,0.12823062102206437,0.24345784138569865,0.20498318978418203,0.27901191798987696
112,2009-10-07,0.4683751718694102,0.19143249104389806,0.28432688622855234,0.2529351349707405,0.3118618034944268
113,2009-10-08,0.42014037038236945,0.27004870568728284,0.3173150635510594,0.2878052387362843,0.3423386450684427
114,2009-10-09,0.44985672827725914,0.3623311544718177,0.3509669906578271,0.319985507176095,0.37693185272761376
115,2009-10-12,0.5616863605698071,0.46583194717921933,0.3882885292270004,0.3760351522811918,0.39426651839508725
116,2009-10-13,0.5914016191210593,0.5455845228924864,0.42534301381643086,0.4294844805382865,0.4137488311749657
117,2009-10-14,0.7236163805040944,0.5973932156290057,0.46122265953501135,0.5214357397760224,0.391093012677811
118,2009-10-15,0.7236163805040944,0.6589925766624545,0.49448551510861405,0.5982413413674073,0.37880691374614506
119,2009-10-16,0.9322014451167607,0.756898590199588,0.5388334185711986,0.718698919321008,0.34377568795628927
120,2009-10-19,0.9643577962175155,0.8386325734965568,0.5808620829539627,0.8278389061521441,0.31575982372877825
121,2009-10-20,0.9590468670994579,0.9132569642461561,0.6210369101389073,0.919018060935571,0.30255947932691185
122,2009-10-21,0.9501460313295647,0.959237803853156,0.6611964595693783,0.9952155243157922,0.30480344359083433
123,2009-10-22,0.9930688043549101,1.013931079711984,0.7049264172993561,1.0685148864125473,0.317237947730803
124,2009-10-23,0.9873269325305227,1.025120414908473,0.7516241153507117,1.1254400617658649,0.3525680861224911
125,2009-10-26,0.9947914758365912,1.03129782319086,0.7941029038610034,1.1783164682000518,0.3835761402737875
126,2009-10-27,0.9098072655267393,1.0213032012330834,0.832065290188611,1.2083530198837744,0.4290724034500297
127,2009-10-28,0.7951066973219977,0.9898334191370068,0.8659766177920007,1.213435811983508,0.49217840905199084
128,2009-10-29,0.9494281599335614,0.9809752698211355,0.9146883795866659,1.21145055781649,0.5924189727101685
129,2009-10-30,0.7351006738246894,0.9297785496391853,0.9540087625682113,1.160989938697573,0.723800892628723
130,2009-11-02,0.7045235298607769,0.8708601527832701,0.9886982624497002,1.0968379126877554,0.8599905119834201
131,2009-11-03,0.7518964459351593,0.8388075184310273,1.0181084072013444,1.0445645036096964,0.9732685266007207
132,2009-11-04,0.795537090356508,0.8388948793262374,1.0354951052404164,1.032374972098313,1.0209064614656047
133,2009-11-05,0.9149747302999601,0.8319015448284317,1.0617925900914353,1.0141521080881821,1.0927382038634978
134,2009-11-06,0.9501460313295647,0.8755513101268371,1.0883799725244896,0.9919048095768827,1.1693112793771376
135,2009-11-09,1.1139421870903687,0.9586548400249647,1.1177290646817724,1.0114845137267965,1.2082466752370533
136,2009-11-10,1.1749530106733548,1.0445265834238107,1.1487413288295019,1.040110339163993,1.2411905325255097
137,2009-11-11,1.1749530106733548,1.1215401775067853,1.1727271696602848,1.0768627720532378,1.2515767410325558
138,2009-11-12,1.1906010680251304,1.177486630345183,1.197544611092176,1.1089181765695297,1.268490956889009
139,2009-11-13,1.2508940202121144,1.2385322594208674,1.2144812142154884,1.1569914702490882,1.252974074702973
140,2009-11-16,1.311617915105427,1.278656348743991,1.2329360113264616,1.2126965957737463,1.232634285167971
141,2009-11-17,1.3289880942670644,1.3099222887512434,1.2525961736054663,1.2656814795261457,1.2175340218141983
142,2009-11-18,1.316929393895304,1.338740561684265,1.2720885142793927,1.3099878245155328,1.2110598361448228
143,2009-11-19,1.2643884633758813,1.3537178786857151,1.2865075304206242,1.3389419251419,1.2102170420999883
144,2009-11-20,1.2208912832993695,1.3476279428705633,1.2989200778781307,1.3590964862067538,1.214419089259104
145,2009-11-23,1.3987557396032875,1.365315121203902,1.3203883609386007,1.4085961977428523,1.206563469697844
146,2009-11-24,1.4093786971830424,1.3816327529360828,1.3469375928031209,1.454150553816748,1.2130249818692564
147,2009-11-25,1.4474209341248407,1.4081198399884847,1.3816041906587813,1.493103984930853,1.2426672624899975
148,2009-11-27,1.3615748384023294,1.4278466665023333,1.4035073200923052,1.5190982335322312,1.2599677787467412
149,2009-11-30,1.4080864187358717,1.4658434120336634,1.4392724848935143,1.527343503282432,1.3235439939673703
150,2009-12-01,1.5067090862261447,1.4877557113640882,1.4819038464661773,1.5339247265749287,1.4026794823491726
151,2009-12-02,1.4728300636437108,1.5006350280161975,1.5202171537584148,1.5246238638835434,1.4895160774872365
152,2009-12-03,1.4474209341248407,1.5006350280161975,1.5548608788000158,1.5000853425577958,1.5846952749425618
153,2009-12-04,1.4369414408899226,1.5159328914441355,1.5826002857133947,1.482199792557303,1.6590851245872489
154,2009-12-07,1.4547420130860702,1.525403013314576,1.6094165423458897,1.457507703715726,1.7386448575276738
155,2009-12-08,1.4662263064066643,1.517185845279655,1.628138335013071,1.4576012525266984,1.7762863709508174
156,2009-12-09,1.4662263064066643,1.5158454189769002,1.6436177675313157,1.460993368712373,1.8039849469141902
157,2009-12-10,1.5301086155736634,1.53262931019961,1.6624921624726365,1.4705022599794695,1.8322086346520585
158,2009-12-11,1.5158963010138933,1.5486555158037074,1.6797796573488106,1.4726289800294343,1.8648588535491284
159,2009-12-14,1.5908325104669758,1.5762790754980154,1.697845353714851,1.4948940117598029,1.8782761641374113
160,2009-12-15,1.5536516092660178,1.5940246060001853,1.7107079960881182,1.5099077509274794,1.8886956144864833
161,2009-12-16,1.619973911638881,1.6252321938386063,1.7261721508518872,1.5371194877571077,1.8917592888118393
162,2009-12-17,1.5651359025866118,1.6323420095300252,1.7393628413757247,1.5473842470597257,1.907745381489537
163,2009-12-18,1.6007375966507267,1.64956303994486,1.7572377848990914,1.5523706115257065,1.9386259151457363
164,2009-12-21,1.6331814261129742,1.658158995003076,1.7791485386039694,1.5440332192390263,1.9914041330704921
165,2009-12-22,1.6682087131259227,1.6814117206362555,1.7934683515823029,1.5696619200793165,1.9937962917552428
166,2009-12-23,1.8198027041701295,1.721972837579479,1.815279931336051,1.6361933518613412,1.969040016936547
167,2009-12-24,1.9174200219029072,1.7934792365314447,1.8402575701016664,1.720905838793635,1.9318858356403972
168,2009-12-28,1.9804409953290663,1.8705511827832517,1.8731466026848107,1.8006461423510005,1.9158148545737532
169,2009-12-29,1.9306269867051813,1.9309264871355347,1.9009165066836027,1.8532166223458681,1.9174897205527348
170,2009-12-30,1.9784308454858934,1.993895171626092,1.9259856951289949,1.9126918680418394,1.9065884938515176
171,2009-12-31,1.938953415423908,2.0180803046683042,1.950757361720998,1.9532653006393197,1.914611875536691
